,AwayAttack,AwayDefense,HomeAttack,HomeDefense
Birmingham,0.9803361295301131,1.1984806100273586,1.0156096613727614,1.2554259374024592
Blackburn,1.1321076969020598,1.137303096190346,1.2930075762425908,1.1409457978911013
Blackpool,0.7099241613967315,2.0070444176912057,0.6487488577545107,1.4020623420216825
Bolton,0.7400487144821895,1.464492768554677,1.2372621545507276,1.0828977441922762
Bournemouth,1.9452777721770378,0.7436098987587193,1.6546504508663928,1.053613190474209
Brentford,1.2494897582995719,1.1506112116829024,1.6082708870013716,1.146429274323709
Brighton,0.703249028673226,0.9041847888066555,0.9012577433716797,1.1613982413708528
Cardiff,1.0180070306356235,1.1286077028273571,1.083001579726328,1.2167846306339405
Charlton,0.857068977513304,1.2030790105883138,1.120853232769654,1.0880041497798738
Derby,1.4359636264759497,1.1909232807020895,1.6805643074568337,0.9902139151686278
Fulham,1.031140387354885,1.65019823453097,1.2810220950974682,1.542081971784715
Huddersfield,0.9455556458027459,1.499245827454041,1.203390211504611,1.3749820713747773
Ipswich,1.229800209578986,1.3262925011070879,1.4071394134024544,0.7363965891753669
Leeds,1.0860812288644397,1.3320665862253653,0.774083912058007,0.9761228329500351
Middlesbrough,0.9896947008415485,0.9227251290770913,1.456814155391614,0.4861555834662915
Millwall,0.6757638785242442,1.3009637200338098,0.8786792054665321,1.6001672547512398
Norwich,1.4748645710104193,0.8949266196830201,1.7326319266791432,0.9918057740396559
Nott'm Forest,1.336372877756911,1.3579267769067682,1.3030540557702306,1.3148823606496889
Reading,0.9321686467885414,1.5885435416074283,0.852145193955774,1.0104691822269527
Rotherham,0.5905194784211915,1.2015421230614691,1.0857681201302565,1.3555196649527934
Sheffield Weds,1.0406650518248022,1.0359618828719435,0.5571652189080888,0.8119359210254674
Watford,1.664050361599953,1.041719282896149,1.6718308403178055,0.916319212372574
Wigan,0.820633075682925,1.2536321826669659,0.6315983202304026,1.1668837872336588
Wolves,1.0843677860552459,1.2186768151324512,1.471924037592722,0.9353858623469743
