,HomeAttack,HomeDefense,AwayAttack,AwayDefense,HomeCount,AwayCount
West Ham,0.0,0.0,0.6245274477326015,1.0781386618755282,0.0,3.0
Crystal Palace,1.9176162910448393,0.3158604943043687,0.31794000137962614,1.9673355216029131,2.0,1.0
Everton,1.6476617399632287,2.3772680450990795,2.3751525425229154,1.6376666912147753,1.0,2.0
Chelsea,0.46836636919344204,0.37460893323617445,0.3687057816058624,0.44035570253028333,2.0,1.0
Bournemouth,0.48908592363092157,1.4773940441180053,1.4894111690217193,0.5544560827932695,2.0,1.0
Southampton,1.510137672111891,0.3391399670120627,0.41924441227034837,1.575758927147975,2.0,1.0
Brighton,1.31466690501864,1.1717279024598526,1.1301665731650927,1.3646940331827324,1.0,2.0
Man United,0.9429038500074659,0.9038197431579662,0.8900838249601145,0.9137960336129203,2.0,1.0
Newcastle,1.6600313795227364,0.18200603026103404,0.10655455308891514,1.7681739026873848,2.0,1.0
Stoke,1.6862541740725192,1.6964977901623586,1.6603779096640547,1.6450320718731208,1.0,2.0
Burnley,0.8424788468969893,1.6204146538341029,1.5485837911676876,1.025439516887644,1.0,2.0
Swansea,0.909878011835326,1.2261355407948287,1.2707590895414667,0.798799348309911,1.0,2.0
Leicester,1.9232035428542158,0.47031754190292285,0.4717783099011001,1.731383425533972,1.0,2.0
Liverpool,0.5142010496883862,2.060741563063282,2.1136147551988307,0.5114538103784909,2.0,1.0
Watford,0.3815952126500626,1.008067945271189,0.9708544348288787,0.3126318333279536,2.0,1.0
Arsenal,2.220251198594411,1.5639773277650488,1.5585070130003764,2.169918301002645,1.0,2.0
Tottenham,0.3326679794802484,2.5375888893944887,2.505239527779856,0.40527965725666504,2.0,1.0
Huddersfield,1.261132646911414,0.6146384507915053,0.6465218202433105,1.266626663101001,2.0,1.0
West Brom,0.8738424730584631,0.8739481723545284,0.8931079821146597,0.8787304951259776,2.0,1.0
Man City,0.6669640288248261,1.946285653507907,1.9785877438003252,0.6946663385318611,1.0,2.0
